datetime,upper_band,middle_band,lower_band,open,high,low,close,volume
2023-04-28 15:59:00,169.72189,169.18862,168.65535,169.64000,169.71001,169.59000,169.69000,1188314
2023-04-28 15:58:00,169.64225,169.15062,168.65900,169.58501,169.64999,169.53999,169.64000,451681
2023-04-28 15:57:00,169.56228,169.11314,168.66400,169.59010,169.66499,169.57030,169.58501,368799
2023-04-28 15:56:00,169.48224,169.07739,168.67254,169.59000,169.69000,169.57001,169.59340,416250
2023-04-28 15:55:00,169.38174,169.03897,168.69620,169.36490,169.61000,169.34000,169.59000,482230
2023-04-28 15:54:00,169.24332,169.00222,168.76112,169.09000,169.52000,169.06000,169.36130,558238
2023-04-28 15:53:00,169.16503,168.97515,168.78528,169.08501,169.13000,169.06000,169.10001,131474
2023-04-28 15:52:00,169.14887,168.96470,168.78053,169.10500,169.14000,169.05000,169.09000,147565
2023-04-28 15:51:00,169.13458,168.95220,168.76982,169.00000,169.11000,168.97000,169.10010,192999
2023-04-28 15:50:00,169.11412,168.93950,168.76489,168.94000,169.03000,168.92000,168.99500,159631
2023-04-28 15:49:00,169.10843,168.93323,168.75804,169.06000,169.07001,168.94000,168.94000,89723
2023-04-28 15:48:00,169.10953,168.92698,168.74443,168.92999,169.07001,168.91000,169.05499,131666
2023-04-28 15:47:00,169.09352,168.91524,168.73695,168.91000,168.97000,168.86000,168.92999,111864
2023-04-28 15:46:00,169.09160,168.91299,168.73437,168.99500,168.99500,168.89000,168.92000,116604
2023-04-28 15:45:00,169.09024,168.90924,168.72823,169.12000,169.14999,168.98500,168.99001,134530
2023-04-28 15:44:00,169.08243,168.89998,168.71754,169.05499,169.14999,169.04500,169.13000,110045
2023-04-28 15:43:00,169.03716,168.88348,168.72981,169.04190,169.14000,169.00999,169.05499,224581
2023-04-28 15:42:00,169.00727,168.87023,168.73320,169.03551,169.06000,168.99001,169.05000,137926
2023-04-28 15:41:00,168.97410,168.86298,168.75187,168.92999,169.03999,168.92999,169.03000,150934
2023-04-28 15:40:00,168.93432,168.85248,168.77065,168.93500,168.95000,168.88000,168.92760,132922
2023-04-28 15:39:00,168.94578,168.85461,168.76343,168.89000,168.93010,168.84500,168.93010,67984
2023-04-28 15:38:00,168.96786,168.85860,168.74934,168.88000,168.92500,168.84579,168.89030,84979
2023-04-28 15:37:00,168.97434,168.86083,168.74733,168.82001,168.89000,168.79280,168.87000,75528
2023-04-28 15:36:00,168.97377,168.86033,168.74690,168.85001,168.94000,168.82001,168.82500,133378
2023-04-28 15:35:00,168.97377,168.86108,168.74840,168.81000,168.89000,168.78999,168.85500,129333
2023-04-28 15:34:00,168.97337,168.86034,168.74731,168.89000,168.89000,168.82001,168.82001,84292
2023-04-28 15:33:00,168.97337,168.86034,168.74732,168.84000,168.92000,168.82001,168.89090,99765
2023-04-28 15:32:00,168.97071,168.85855,168.74639,168.85001,168.89999,168.83000,168.84000,80693
2023-04-28 15:31:00,168.97065,168.85830,168.74595,168.86000,168.86150,168.81000,168.84621,69181
2023-04-28 15:30:00,168.97321,168.85449,168.73577,168.82001,168.88000,168.80499,168.86960,92304
2023-04-28 15:29:00,168.97535,168.84851,168.72167,168.84000,168.84000,168.77499,168.81500,129292
2023-04-28 15:28:00,168.97953,168.84476,168.70999,168.87500,168.89000,168.82001,168.82001,63528
2023-04-28 15:27:00,168.98278,168.84076,168.69874,168.84599,168.89000,168.84000,168.88499,71986
2023-04-28 15:26:00,168.98177,168.83276,168.68375,168.81000,168.85001,168.80000,168.84500,48412
2023-04-28 15:25:00,168.98571,168.82526,168.66481,168.80499,168.84000,168.78999,168.80499,66055
2023-04-28 15:24:00,168.98894,168.82026,168.65158,168.78500,168.84500,168.78000,168.80000,62695
2023-04-28 15:23:00,168.99038,168.81626,168.64214,168.91000,168.91000,168.77499,168.78999,176112
2023-04-28 15:22:00,168.99218,168.81227,168.63235,168.82170,168.91000,168.76691,168.90500,155546
2023-04-28 15:21:00,168.98173,168.80327,168.62480,168.97000,168.98000,168.82001,168.82001,111755
2023-04-28 15:20:00,168.98056,168.79777,168.61498,169.00760,169.00999,168.96001,168.97000,113832
2023-04-28 15:19:00,168.95551,168.78277,168.61003,168.92999,169.03000,168.92999,169.00999,257051
2023-04-28 15:18:00,168.92395,168.76078,168.59761,168.87000,168.93500,168.85001,168.93500,112777
2023-04-28 15:17:00,168.90452,168.74278,168.58104,168.84000,168.86000,168.82500,168.86000,58051
2023-04-28 15:16:00,168.91190,168.72403,168.53616,168.83000,168.86000,168.82001,168.84000,72612
2023-04-28 15:15:00,168.91841,168.70475,168.49110,168.82001,168.85001,168.78889,168.84010,82066
2023-04-28 15:14:00,168.91962,168.68425,168.44887,168.86000,168.86501,168.81000,168.82010,83653
2023-04-28 15:13:00,168.92356,168.66224,168.40093,168.83180,168.86000,168.80780,168.85500,88292
2023-04-28 15:12:00,168.90757,168.63999,168.37241,168.76500,168.83990,168.75999,168.83501,76667
2023-04-28 15:11:00,168.88653,168.61974,168.35296,168.74500,168.77000,168.70000,168.77000,117910
2023-04-28 15:10:00,168.88060,168.59874,168.31688,168.75000,168.78000,168.72501,168.75000,105291
2023-04-28 15:09:00,168.88017,168.57524,168.27032,168.72000,168.75000,168.69000,168.74001,53308
2023-04-28 15:08:00,168.87419,168.55174,168.22929,168.72009,168.78000,168.71001,168.74001,98849
2023-04-28 15:07:00,168.86661,168.52574,168.18487,168.69009,168.72501,168.64999,168.72501,69486
2023-04-28 15:06:00,168.85013,168.50199,168.15385,168.70000,168.73000,168.69501,168.69501,50154
2023-04-28 15:05:00,168.82889,168.48249,168.13609,168.71820,168.72000,168.66000,168.70500,56825
2023-04-28 15:04:00,168.80025,168.46399,168.12773,168.71381,168.72501,168.69000,168.72000,37436
2023-04-28 15:03:00,168.76653,168.44124,168.11595,168.71500,168.73500,168.64000,168.71010,119653
2023-04-28 15:02:00,168.72990,168.41749,168.10507,168.71001,168.73000,168.66290,168.72501,101649
2023-04-28 15:01:00,168.68387,168.39099,168.09810,168.67999,168.71001,168.62460,168.71001,117510
2023-04-28 15:00:00,168.63594,168.36249,168.08903,168.57001,168.67999,168.52190,168.67010,102915
2023-04-28 14:59:00,168.58057,168.33998,168.09939,168.58000,168.59000,168.52080,168.57010,109912
2023-04-28 14:58:00,168.54263,168.32498,168.10732,168.49001,168.59171,168.48990,168.57500,125156
2023-04-28 14:57:00,168.49557,168.30923,168.12288,168.45000,168.49001,168.44000,168.48500,60917
